show_id,type,title,director_id,date_added,release_year,rating,duration,description,year_added,month_added
s8670,tv show,v.r. troopers,2,2016-01-01,1995,tv-g,2 Seasons,three friends who study martial arts find themselves defending humanity from a criminal mastermind and his invading army from another dimension.,2016,1
s8671,movie,vantage point,3314,2019-11-01,2008,pg-13,90 min,"moments after he arrives in spain for an antiterrorism summit, u.s. president ashton is shot.",2019,11
s8672,movie,veerappan,237,2017-10-15,2016,tv-14,117 min,a police official assembles an elaborate network of spies and undercover operatives to bring down a ruthless bandit with a private army.,2017,10
s8673,movie,veerey ki wedding,4455,2019-12-31,2018,tv-14,130 min,"quick to throw punches in the name of justice, a young man must find a calmer way to win over the pacifist father of the girl he wishes to marry.",2019,12
s8674,movie,vegas baby,4456,2017-07-04,2016,tv-14,78 min,"a las vegas doctor's controversial online contest sees anxious entrants vie for free in vitro fertilization, a procedure rarely covered by insurance.",2017,7
s8675,movie,viceroy's house,4457,2017-12-12,2017,nr,106 min,"as viceroy lord mountbatten arrives in delhi to oversee a transfer of power from britain to india in 1947, war looms between religious factions.",2017,12
s8676,movie,victor,4458,2017-07-24,2015,pg-13,110 min,"in 1962 brooklyn, a puerto rican teen who joins a gang is seduced by violence and heroin. but can his mother's love and faith in god save him?",2017,7
s8677,movie,viking destiny,4459,2019-02-02,2018,r,91 min,"framed for her father’s murder, an exiled viking princess is guided by the god odin as she prepares to return to her kingdom and reclaim the throne.",2019,2
s8678,movie,vikings unearthed,4460,2017-03-01,2016,tv-pg,113 min,archaeologist sarah parcak follows clues to early viking explorations and discusses just what these notoriously fierce warriors were really like.,2017,3
s8679,movie,vincent n roxxy,4461,2017-09-02,2016,r,101 min,"in rural louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.",2017,9
s8680,tv show,vir: the robot boy,2,2018-03-31,2013,tv-y7,2 Seasons,"humanoid robot boy vir lives with his inventor, dr. prem sahay, and, with his best friends, is always ready to use his superpowers to save the day.",2018,3
s8681,movie,viswasapoorvam mansoor,4462,2018-07-01,2017,tv-14,125 min,"when a mother and her daughter arrive to stay in his home in kerala, a young muslim man becomes torn between love, faith and clashing political views.",2018,7
s8682,movie,vitti dandu,4463,2017-07-15,2014,tv-14,116 min,"in a remote village in colonial india, an old man and his grandson display strong differences in their attitudes toward the country's british rulers.",2017,7
s8683,movie,vizontele tuuba,534,2017-03-10,2004,nr,106 min,"with civil war looming, a tv-obsessed turkish town is bemused when a bureaucrat and his daughter arrive to modernize their library.",2017,3
